FY ,Project Name,Project Address,Project City,Project Zip,Project County,Units,ProjectType
2020,Rosemont Tower,740 Poplar Grove Street,Baltimore,21216,Baltimore City,203,Acq/Rehab
2020,Riverwatch Phase II,5635 Furnace Ave,Elkridge,21075,Howard,58,New
2020,Towns at Padonia,100 Long Vista Ct,Lutherville,21093,Baltimore,26,New
2020,Towne Courts,2010 West Street,Annapolis,21401,Anne Arundel,42,New
2020,Glenarden Phase 2A,3171 Rolland Kenner Loop,Lanham,20706,Prince George's,55,New
2020,Somerset-Extension,1400 East Monument St,Baltimore,21205,Baltimore,64,New/Rehab
2020,Homes on Fountain Green,1900 N Fountain Green Rd,Bel Air,21014,Harford,72,New
2020,Four Ten Lofts,410 N. Eutaw St,Baltimore,21201,Baltimore City,76,New
2020,Chautauqua Park West,100-600 Liberty Hill Drive,Oakland,21550,Garrett,77,Acq/Rehab
2020,22 Light Street,22 Light Street,Baltimore,21202,Baltimore City,40,New
2020,Calvert Hills East,346 Radio Drive,Prince Fred,20678,Calvert,96,New
2020,Reserve at Somerset Commons,30520 Hickory Road,Princess Anne,21853,Somerset,54,New
2020,Park View at Coldspring,4803 Tamarind Road,Baltimore,21209,Baltimore City,99,Acq/Rehab
2020,Flamingo Place Apts,3900-3934 Flamingo,Baltimore,21211,Baltimore City,47,New
2020,Ox Fibre,400 Church Street,Frederick,21701,Frederick,83,Acq/Rehab
2020,Upton II at Rockville,198 East Montgomery Avenue,Rockville,20850,Montgomery,150,New
2020,Cecilton Elderly Housing,233 South Bohemia Avenue,Cecilton,21913,Cecil,20,New
2020,Willows at Windsor Village,300-352 Friendship Rd & 150 East,Elkton,21921,Cecil,100,Acq/Rehab
2020,Bensor Corner,1700 Harford Road,Fallston,21047,Harford,56,New
2020,Westminster Way,322 W. Main Street,Westminster,21158,Carroll,55,New
2020,Meade Village,1710 Meade Village Circle Rd,Severn,21144,Anne Arundel,224,Acq/Rehab
2020,Hollander Ridge,Scattered Site,Baltimore,,Baltimore City,94,Acq/Rehab
2020,Robinson Overlook,7410 Grace Drive,Columbia,21044,Howard,48,New
2020,Catoctin View Apt,800 Motter Ave,Frederick,21701,Frederick,74,Acq/Rehab
2020,Fireside Park Apt,735 Monroe Street,Rockville,20850,Montgomery,236,Acq
2017,Blessed Sacrament Supportive Housing,,Baltimore,21218,Baltimore City,22,Rehab
2017,Mount Jezreel,420 University Boulevard E,Silver Spring,20901,Montgomery,75,New
2017,Pleasant View Gardens Townhomes,1099 Orleans Street,Baltimore,21701,Baltimore City,201,Rehab
2017,Pleasant View Gardens Senior,110 N. Central Avevnue,Baltimore,21202,Baltimore City,110,Rehab
2017,McCulloh Homes Extension,501 Dolphin Street,Baltimore,21217,Baltimore City,350,Rehab
2017,St. James Terrace Apartments,827 N. Arlington Avenue,Baltimore,21210,Baltimore City,151,Rehab
2017,Park Heights Apartments,5900 Park Heights Avenue,Baltimore,21215,Baltimore City,100,Rehab
2017,Heritage Overlook (aka Burwood Gardens II),6652 Shelly Road & 6670 Roberts Court,Glen Burnie,21061,Anne Arundel,100,New
2017,Victory Crossing,1090 Milestone Drive,Silver Spring,20904,Montgomery,105,New
2017,Chase House,1027 Cathedral Street,Baltimore,21201,Baltimore City,189,Rehab
2017,Southern Pines II,60 Appeal Lane,Lusby,20657,Calvert,67,New
2017,Adams Crossing II,12330 Vivian Adams Drive,Waldorf,20601,Charles,72,New
2017,Key's Pointe - Phase 1B,6301 Boston Street,Baltimore,21224,Baltimore City,68,New
2017,The Belnor,,Suitland,20746,Prince George's,122,New
2017,Homes at Johnsons Pond,1001 Lake Street,Salisbury,21801,Wicomico,63,New
2017,Merritt Station- (TC Only),1420 Merrit Boulevard,Dundalk,21222,Baltimore,72,New
2017,North Avenue Gateway II (TC Only),,Baltimore,21216,Baltimore City,65,New
2017,Lyon Homes,411 New Pittsburg Avenue,Dundalk,21222,Baltimore,118,Rehab
2017,Timothy House & Gardens,29 W. Washington Street,Annapolis,21401,Anne Arundel,81,Rehab
2017,Restoration Gardens II,4201 York Road,Baltimore,21212,Baltimore City,42,New
2017,Waverly View Apartments,400 Harlan Way,Frederick,21702,Frederick,240,New
